,Control_1,Control_2,Control_3,Control_4,Mlp37347_1,Mlp37347_2,Mlp37347_3,Mlp37347_4,Mlp124499_1,Mlp124499_2,Mlp124499_3,Mlp124499_4
AT1G28080,1,5,4,8,4,4,0,0,1,2,1,4
AT1G28090,110,178,197,503,473,390,191,174,197,187,187,244
AT1G28100,12,77,52,233,273,228,144,111,87,84,46,56
AT1G28110,33,134,137,511,344,272,167,60,112,86,44,153
AT1G28120,241,489,476,1144,674,539,332,450,344,354,401,481
AT1G28130,63,320,282,788,366,353,207,239,254,307,169,417
AT1G28135,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28140,244,540,575,1605,1308,1038,700,349,511,461,724,704
AT1G28150,94,256,289,898,655,561,336,408,385,414,396,351
AT1G28160,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28170,0,0,0,0,1,0,0,0,0,0,0,0
AT1G28180,0,0,0,0,0,0,0,1,0,0,0,0
AT1G28190,275,191,401,408,80,86,63,160,83,87,136,138
AT1G28200,132,501,471,1211,718,579,390,533,342,429,305,420
AT1G28210,33,59,65,158,80,73,55,19,38,39,35,53
AT1G28220,0,1,0,2,3,1,2,2,1,0,0,0
AT1G28230,4,24,12,99,294,232,109,34,67,64,133,54
AT1G28240,529,751,768,1547,886,645,486,455,446,561,674,416
AT1G28250,46,191,186,434,343,234,160,171,148,157,99,194
AT1G28260,234,593,440,1294,518,458,258,1932,692,820,760,191
AT1G28265,5,0,0,0,0,0,0,1,0,0,0,1
AT1G28270,0,0,0,1,0,1,0,0,0,0,0,0
AT1G28280,372,834,782,1597,1019,811,535,869,497,540,364,560
AT1G28290,219,768,993,4722,4705,4967,2932,457,1275,1256,391,1022
AT1G28300,3,1,0,3,0,1,2,0,1,0,2,0
AT1G28305,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28306,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28310,76,205,172,409,293,218,145,147,141,155,85,239
AT1G28320,287,668,652,1775,1118,1077,517,616,466,543,552,547
AT1G28327,0,0,0,0,3,0,2,0,0,0,2,1
AT1G28330,1086,1873,1986,4373,6475,6191,2975,5956,3707,4784,4205,771
AT1G28335,0,0,0,0,0,0,0,0,0,0,0,0
AT1G28340,248,620,524,1689,1170,983,622,451,536,573,586,503
AT1G28350,226,376,361,1013,620,579,342,232,300,301,305,302
AT1G28360,7,27,26,61,27,27,15,16,18,19,4,25
AT1G28370,45,84,108,127,64,69,23,17,28,26,36,63
AT1G28375,0,1,0,0,0,0,0,0,0,0,0,1
AT1G28380,460,1102,1107,3017,1376,1056,676,560,427,397,459,819
AT1G28390,60,81,96,182,129,104,67,39,54,89,80,130
AT1G28395,13,109,85,407,208,201,119,44,99,103,42,201
AT1G28400,685,845,600,1774,1069,1111,714,258,684,687,683,819
AT1G28410,78,232,197,627,373,310,209,214,199,245,183,304
AT1G28420,985,921,874,2310,1067,1034,532,705,723,793,1105,725
AT1G28430,0,0,1,0,1,0,2,0,0,1,1,2
AT1G28440,663,1616,1257,4800,1715,1667,852,1160,1285,1468,1711,1972
AT1G28450,0,0,1,11,7,8,2,0,1,0,0,1
AT1G28460,0,1,0,2,0,0,0,0,0,0,0,0
AT1G28470,60,12,6,46,39,44,15,9,18,20,17,27
AT1G28480,124,60,117,106,21,13,17,17,9,17,46,49
AT1G28490,540,361,436,866,609,474,341,313,301,301,852,446
AT1G28500,49,1,3,13,9,8,2,4,2,1,1,1
AT1G28510,134,258,327,616,376,280,208,144,114,145,136,297
AT1G28520,477,1016,945,2762,876,760,487,633,560,643,676,709
AT1G28530,25,101,65,244,215,182,86,28,82,69,50,99
AT1G28540,36,71,81,153,103,85,77,72,52,63,94,55
AT1G28550,14,1,2,7,2,4,0,4,0,2,5,1
AT1G28560,27,40,50,123,48,38,25,16,32,29,43,72
AT1G28570,13,57,65,159,148,137,101,14,33,31,31,77
AT1G28580,162,574,554,1495,861,684,417,433,277,409,330,574
AT1G28590,3,0,0,1,1,2,0,1,0,1,0,3
AT1G28600,187,459,556,991,683,550,350,195,129,97,137,839
AT1G28610,25,65,64,149,294,211,174,20,47,47,44,112
AT1G28630,0,1,0,1,1,1,0,1,0,0,0,0
AT1G28640,0,2,0,2,1,1,0,0,0,1,2,1
AT1G28650,0,5,0,13,0,1,1,0,2,0,1,2
